h min seg;ACC ACCX ACCY ACCZ m/s^2;GGY GGYX GGYY GGYZ rad/s;DIS D6 D7 [mm];Colision D6(Bool) D7(Bool);Temperatura Ambiental CPU_MR [ºC]
0 6 41;0 0 -10;0 0 0;255 255;0 0;23 61.0
0 6 41;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 6 43;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 6 43;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 43;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 6 43;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 45;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 6 45;0 0 -10;0 0 0;255 255;0 0;23 61.45
0 6 45;0 0 -10;0 0 0;255 255;0 0;23 61.55
0 6 45;0 0 -10;0 0 0;255 255;0 0;23 61.75
0 6 47;0 0 -10;0 0 0;255 255;0 0;23 62.0
0 6 47;0 0 -10;0 0 0;255 255;0 0;23 61.65
0 6 47;0 0 -10;0 0 0;255 255;0 0;23 61.6
0 6 47;0 0 -10;0 0 0;255 255;0 0;23 61.8
0 6 49;0 0 -10;0 0 0;255 255;0 0;23 61.5
0 6 49;0 0 -10;0 0 0;255 255;0 0;23 61.9
0 6 49;0 0 -10;0 0 0;255 255;0 0;23 61.95
0 6 49;0 0 -10;0 0 0;255 255;0 0;23 61.85
0 6 51;0 0 -10;0 0 0;255 255;0 0;23 61.61
